"year","projected","method"
"2017","29983","Method - M1F1"
"2018","31036","Method - M1F1"
"2019","31443","Method - M1F1"
"2020","31886","Method - M1F1"
"2021","32375","Method - M1F1"
"2022","32884","Method - M1F1"
"2023","33441","Method - M1F1"
"2024","34028","Method - M1F1"
"2025","34657","Method - M1F1"
"2026","35312","Method - M1F1"
"2027","35998","Method - M1F1"
"2028","36724","Method - M1F1"
"2029","37479","Method - M1F1"
"2030","38265","Method - M1F1"
"2031","39086","Method - M1F1"
"2032","39911","Method - M1F1"
"2033","40763","Method - M1F1"
"2034","41636","Method - M1F1"
"2035","42515","Method - M1F1"
"2036","43422","Method - M1F1"
"2037","44318","Method - M1F1"
"2038","45230","Method - M1F1"
"2039","46170","Method - M1F1"
"2040","47097","Method - M1F1"
"2041","48049","Method - M1F1"
"2042","48971","Method - M1F1"
"2043","49876","Method - M1F1"
"2044","50760","Method - M1F1"
"2045","51628","Method - M1F1"
"2046","52470","Method - M1F1"
"2047","53300","Method - M1F1"
"2048","54119","Method - M1F1"
"2049","54922","Method - M1F1"
"2050","55718","Method - M1F1"
"2051","56518","Method - M1F1"
"2017","29983","Method - M1F2"
"2018","31036","Method - M1F2"
"2019","31441","Method - M1F2"
"2020","31883","Method - M1F2"
"2021","32372","Method - M1F2"
"2022","32877","Method - M1F2"
"2023","33434","Method - M1F2"
"2024","34018","Method - M1F2"
"2025","34646","Method - M1F2"
"2026","35299","Method - M1F2"
"2027","35983","Method - M1F2"
"2028","36709","Method - M1F2"
"2029","37462","Method - M1F2"
"2030","38246","Method - M1F2"
"2031","39065","Method - M1F2"
"2032","39889","Method - M1F2"
"2033","40742","Method - M1F2"
"2034","41611","Method - M1F2"
"2035","42490","Method - M1F2"
"2036","43398","Method - M1F2"
"2037","44297","Method - M1F2"
"2038","45209","Method - M1F2"
"2039","46150","Method - M1F2"
"2040","47075","Method - M1F2"
"2041","48025","Method - M1F2"
"2042","48943","Method - M1F2"
"2043","49851","Method - M1F2"
"2044","50733","Method - M1F2"
"2045","51600","Method - M1F2"
"2046","52441","Method - M1F2"
"2047","53265","Method - M1F2"
"2048","54084","Method - M1F2"
"2049","54886","Method - M1F2"
"2050","55689","Method - M1F2"
"2051","56482","Method - M1F2"
"2017","29983","Method - M2F1"
"2018","31012","Method - M2F1"
"2019","31392","Method - M2F1"
"2020","31814","Method - M2F1"
"2021","32282","Method - M2F1"
"2022","32769","Method - M2F1"
"2023","33300","Method - M2F1"
"2024","33866","Method - M2F1"
"2025","34462","Method - M2F1"
"2026","35095","Method - M2F1"
"2027","35758","Method - M2F1"
"2028","36457","Method - M2F1"
"2029","37183","Method - M2F1"
"2030","37944","Method - M2F1"
"2031","38732","Method - M2F1"
"2032","39541","Method - M2F1"
"2033","40369","Method - M2F1"
"2034","41200","Method - M2F1"
"2035","42060","Method - M2F1"
"2036","42926","Method - M2F1"
"2037","43798","Method - M2F1"
"2038","44683","Method - M2F1"
"2039","45586","Method - M2F1"
"2040","46491","Method - M2F1"
"2041","47379","Method - M2F1"
"2042","48276","Method - M2F1"
"2043","49147","Method - M2F1"
"2044","49999","Method - M2F1"
"2045","50815","Method - M2F1"
"2046","51616","Method - M2F1"
"2047","52394","Method - M2F1"
"2048","53167","Method - M2F1"
"2049","53923","Method - M2F1"
"2050","54670","Method - M2F1"
"2051","55422","Method - M2F1"
"2017","29983","Method - M2F2"
"2018","31012","Method - M2F2"
"2019","31391","Method - M2F2"
"2020","31811","Method - M2F2"
"2021","32275","Method - M2F2"
"2022","32764","Method - M2F2"
"2023","33291","Method - M2F2"
"2024","33857","Method - M2F2"
"2025","34452","Method - M2F2"
"2026","35083","Method - M2F2"
"2027","35744","Method - M2F2"
"2028","36440","Method - M2F2"
"2029","37167","Method - M2F2"
"2030","37925","Method - M2F2"
"2031","38713","Method - M2F2"
"2032","39520","Method - M2F2"
"2033","40349","Method - M2F2"
"2034","41179","Method - M2F2"
"2035","42037","Method - M2F2"
"2036","42902","Method - M2F2"
"2037","43776","Method - M2F2"
"2038","44658","Method - M2F2"
"2039","45562","Method - M2F2"
"2040","46466","Method - M2F2"
"2041","47355","Method - M2F2"
"2042","48251","Method - M2F2"
"2043","49121","Method - M2F2"
"2044","49976","Method - M2F2"
"2045","50787","Method - M2F2"
"2046","51592","Method - M2F2"
"2047","52370","Method - M2F2"
"2048","53137","Method - M2F2"
"2049","53896","Method - M2F2"
"2050","54641","Method - M2F2"
"2051","55392","Method - M2F2"
"2017","29983","Method M3F1"
"2018","30987","Method M3F1"
"2019","31344","Method M3F1"
"2020","31744","Method M3F1"
"2021","32183","Method M3F1"
"2022","32652","Method M3F1"
"2023","33163","Method M3F1"
"2024","33713","Method M3F1"
"2025","34291","Method M3F1"
"2026","34897","Method M3F1"
"2027","35545","Method M3F1"
"2028","36237","Method M3F1"
"2029","36947","Method M3F1"
"2030","37684","Method M3F1"
"2031","38453","Method M3F1"
"2032","39232","Method M3F1"
"2033","40046","Method M3F1"
"2034","40857","Method M3F1"
"2035","41691","Method M3F1"
"2036","42528","Method M3F1"
"2037","43387","Method M3F1"
"2038","44246","Method M3F1"
"2039","45112","Method M3F1"
"2040","45983","Method M3F1"
"2041","46840","Method M3F1"
"2042","47707","Method M3F1"
"2043","48543","Method M3F1"
"2044","49346","Method M3F1"
"2045","50134","Method M3F1"
"2046","50895","Method M3F1"
"2047","51633","Method M3F1"
"2048","52353","Method M3F1"
"2049","53065","Method M3F1"
"2050","53764","Method M3F1"
"2051","54461","Method M3F1"
"2017","29983","Method M3F2"
"2018","30987","Method M3F2"
"2019","31343","Method M3F2"
"2020","31740","Method M3F2"
"2021","32178","Method M3F2"
"2022","32647","Method M3F2"
"2023","33156","Method M3F2"
"2024","33704","Method M3F2"
"2025","34282","Method M3F2"
"2026","34887","Method M3F2"
"2027","35530","Method M3F2"
"2028","36224","Method M3F2"
"2029","36934","Method M3F2"
"2030","37670","Method M3F2"
"2031","38436","Method M3F2"
"2032","39213","Method M3F2"
"2033","40026","Method M3F2"
"2034","40835","Method M3F2"
"2035","41671","Method M3F2"
"2036","42511","Method M3F2"
"2037","43370","Method M3F2"
"2038","44229","Method M3F2"
"2039","45093","Method M3F2"
"2040","45964","Method M3F2"
"2041","46821","Method M3F2"
"2042","47688","Method M3F2"
"2043","48520","Method M3F2"
"2044","49326","Method M3F2"
"2045","50109","Method M3F2"
"2046","50871","Method M3F2"
"2047","51610","Method M3F2"
"2048","52324","Method M3F2"
"2049","53033","Method M3F2"
"2050","53730","Method M3F2"
"2051","54434","Method M3F2"
